Crop_Type,Region,Soil_Type,Farming_Method,Fertilizer_Used,Area_Planted_Hectares,Yield_Tons_Per_Hectare,Total_Harvest_Tons,Rainfall_mm,Labor_Hours,Planting_Date,Harvest_Date
Wheat,South,Silt,Conservation,Potassium-based,226.97,6.07,1377.71,293.0,973,2025-06-01,2025-10-09
Rice,West,Sandy,Conservation,None,137.91,11.17,1540.45,343.9,398,2025-05-09,2025-10-31
Corn,North,Silt,Mixed,Compost,178.26,5.12,912.69,304.7,3338,2025-03-17,2025-08-11
Barley,North,Clay,Conservation,Phosphorus-based,418.94,2.07,867.21,622.9,745,2025-05-28,2025-11-12
Rice,East,Clay,Mixed,None,468.39,3.64,1704.94,995.6,4833,2025-06-10,2025-09-17
Wheat,Midwest,Peat,Mixed,Phosphorus-based,101.01,5.9,595.96,341.4,3178,2025-05-07,2025-08-19
Wheat,North,Silt,Conventional,Compost,192.53,3.81,733.54,330.3,2611,2025-06-02,2025-10-11
Soybeans,Midwest,Peat,Conservation,Potassium-based,465.03,1.5,697.54,843.4,883,2025-05-23,2025-10-16
Soybeans,North,Loam,Organic,Phosphorus-based,40.29,11.11,447.62,397.2,470,2025-03-03,2025-08-26
Corn,South,Silt,Conventional,Nitrogen-based,55.26,10.36,572.49,297.6,586,2025-05-26,2025-09-09
Rice,West,Sandy,Mixed,Nitrogen-based,89.77,9.29,833.96,366.8,2137,2025-04-20,2025-09-16
Rice,North,Loam,Mixed,None,301.65,3.26,983.38,1123.7,3296,2025-05-21,2025-08-27
Soybeans,Midwest,Loam,Organic,Compost,83.73,2.76,231.09,1021.5,1460,2025-03-26,2025-07-29
Rice,South,Sandy,Mixed,None,484.36,2.21,1070.44,554.1,4387,2025-04-25,2025-10-04
Rice,North,Loam,Conservation,None,228.89,9.1,2082.9,855.8,4925,2025-06-08,2025-11-24
Wheat,East,Silt,Conventional,None,255.74,11.25,2877.08,737.3,2361,2025-05-03,2025-09-05
Soybeans,West,Peat,Mixed,Nitrogen-based,130.86,6.02,787.78,877.1,2721,2025-03-08,2025-07-23
Barley,North,Loam,Mixed,Nitrogen-based,240.77,2.75,662.12,882.7,1056,2025-05-20,2025-10-07
Soybeans,South,Silt,Organic,None,334.34,6.88,2300.26,828.7,480,2025-06-03,2025-11-09
Barley,East,Clay,Conservation,Nitrogen-based,378.08,5.16,1950.89,466.1,3749,2025-04-06,2025-09-16
Wheat,South,Silt,Mixed,Compost,379.4,5.44,2063.94,239.0,4993,2025-06-17,2025-12-03
Corn,South,Peat,Organic,None,293.17,8.02,2351.22,655.6,338,2025-06-29,2025-12-03
Rice,East,Silt,Mixed,Nitrogen-based,453.14,9.05,4100.92,1091.0,1205,2025-06-05,2025-09-24
Wheat,South,Sandy,Organic,Phosphorus-based,410.53,2.66,1092.01,769.5,1486,2025-03-27,2025-09-09
Rice,East,Peat,Organic,None,380.95,1.87,712.38,1032.4,2652,2025-04-14,2025-09-30
Corn,North,Clay,Conservation,None,37.25,11.94,444.76,1191.6,2349,2025-03-04,2025-06-07
Corn,East,Sandy,Mixed,Compost,13.37,3.94,52.68,363.6,1627,2025-05-25,2025-09-17
Wheat,East,Silt,Conservation,Potassium-based,114.1,2.07,236.19,891.8,1767,2025-05-29,2025-11-09
Corn,West,Peat,Organic,Potassium-based,335.13,3.49,1169.6,874.3,4232,2025-06-04,2025-11-28
Barley,East,Clay,Conventional,Compost,211.49,1.91,403.95,1180.0,2791,2025-05-27,2025-08-27
Corn,East,Sandy,Mixed,Compost,207.18,5.61,1162.28,1185.6,3772,2025-06-18,2025-11-06
Rice,North,Clay,Conventional,Compost,443.45,9.93,4403.46,886.7,2096,2025-06-07,2025-11-17
Rice,West,Silt,Mixed,Potassium-based,448.83,5.08,2280.06,443.6,1525,2025-04-06,2025-09-02
Rice,Midwest,Clay,Conservation,Compost,455.5,6.16,2805.88,998.6,2912,2025-06-04,2025-11-03
Rice,North,Loam,Conservation,Nitrogen-based,163.8,8.59,1407.04,307.0,3347,2025-05-10,2025-10-11
Barley,North,Sandy,Conservation,None,348.62,6.84,2384.56,980.7,2692,2025-04-02,2025-08-21
Soybeans,Midwest,Clay,Conservation,None,143.1,10.55,1509.71,1110.2,1590,2025-03-31,2025-09-26
Wheat,East,Silt,Conservation,Phosphorus-based,103.4,10.59,1095.01,582.8,1324,2025-04-24,2025-10-06
Rice,South,Silt,Conventional,Phosphorus-based,100.47,1.6,160.75,830.6,2687,2025-03-12,2025-06-23
Corn,West,Clay,Conservation,None,177.63,9.67,1717.68,630.1,3164,2025-03-11,2025-09-05
Rice,South,Silt,Organic,Nitrogen-based,220.68,6.34,1399.11,637.8,932,2025-05-27,2025-11-04
Corn,Midwest,Peat,Organic,Potassium-based,417.17,11.88,4955.98,510.4,4792,2025-05-11,2025-10-15
Corn,North,Peat,Conventional,Potassium-based,68.75,6.57,451.69,962.1,2540,2025-04-01,2025-07-27
Rice,North,Peat,Mixed,Nitrogen-based,370.11,11.86,4389.5,1136.2,4895,2025-04-26,2025-10-03
Barley,West,Loam,Organic,Potassium-based,270.41,9.42,2547.26,1140.8,1746,2025-04-07,2025-07-15
Corn,North,Clay,Mixed,Compost,151.09,4.11,620.98,374.8,540,2025-04-29,2025-09-22
Corn,North,Loam,Conventional,None,251.48,7.15,1798.08,1074.7,1629,2025-05-25,2025-10-27
Rice,West,Silt,Mixed,None,156.97,11.92,1871.08,937.4,3065,2025-06-06,2025-12-02
Corn,West,Loam,Mixed,Nitrogen-based,302.08,10.5,3171.84,452.8,2467,2025-03-19,2025-08-05
Corn,Midwest,Silt,Mixed,Potassium-based,222.58,2.52,560.9,267.3,3386,2025-06-24,2025-10-05
Rice,North,Silt,Mixed,Phosphorus-based,90.56,8.92,807.8,468.0,4763,2025-05-23,2025-09-05
Rice,North,Sandy,Conventional,Phosphorus-based,67.13,5.13,344.38,1112.2,4431,2025-04-25,2025-09-15
Wheat,Midwest,Peat,Organic,Potassium-based,277.88,1.57,436.27,833.2,1404,2025-03-14,2025-07-24
Barley,East,Silt,Conservation,Phosphorus-based,452.18,5.74,2595.51,921.1,3134,2025-04-02,2025-08-11
Barley,East,Sandy,Mixed,Nitrogen-based,178.54,3.96,707.02,457.2,3788,2025-03-10,2025-08-27
Corn,East,Peat,Organic,Nitrogen-based,369.17,10.1,3728.62,919.4,4073,2025-05-19,2025-09-07
Barley,Midwest,Silt,Organic,Potassium-based,332.74,5.04,1677.01,228.1,1285,2025-05-03,2025-10-07
Corn,North,Silt,Conventional,Phosphorus-based,466.46,10.19,4753.23,575.3,3362,2025-05-03,2025-08-19
Wheat,Midwest,Loam,Organic,Nitrogen-based,412.28,1.51,622.54,826.8,2207,2025-05-01,2025-10-03
Rice,Midwest,Loam,Conventional,Nitrogen-based,287.64,4.73,1360.54,346.1,1940,2025-05-07,2025-09-12
Rice,East,Peat,Mixed,Compost,331.94,4.03,1337.72,1023.0,4420,2025-05-30,2025-11-08
Rice,South,Silt,Mixed,Compost,450.21,3.95,1778.33,435.0,2847,2025-05-31,2025-09-16
Barley,North,Clay,Conservation,Nitrogen-based,205.76,2.22,456.79,852.3,4777,2025-04-12,2025-07-26
Wheat,East,Loam,Conservation,Potassium-based,170.13,3.46,588.65,605.2,4364,2025-05-19,2025-10-09
Barley,South,Peat,Conservation,None,15.3,7.33,112.15,796.0,3233,2025-04-28,2025-08-20
Barley,South,Silt,Organic,None,415.01,4.56,1892.45,307.5,3520,2025-04-21,2025-08-06
Wheat,West,Silt,Mixed,Nitrogen-based,402.48,5.88,2366.58,216.9,1565,2025-06-05,2025-09-25
Wheat,North,Clay,Conventional,Nitrogen-based,61.18,5.46,334.04,1109.6,4209,2025-06-20,2025-12-11
Wheat,South,Peat,Conservation,Nitrogen-based,292.66,10.7,3131.46,469.6,2311,2025-03-19,2025-06-27
Wheat,East,Silt,Conventional,Potassium-based,237.35,11.01,2613.22,1019.7,2904,2025-03-21,2025-07-27
Rice,West,Loam,Conventional,Compost,68.17,6.68,455.38,1199.4,1643,2025-03-22,2025-08-26
Soybeans,North,Clay,Conservation,Nitrogen-based,490.48,4.97,2437.69,411.4,1789,2025-03-09,2025-07-01
Soybeans,Midwest,Peat,Mixed,Nitrogen-based,115.2,2.62,301.82,465.2,1671,2025-03-09,2025-08-08
Wheat,East,Clay,Conservation,Phosphorus-based,42.94,11.51,494.24,862.9,4641,2025-05-12,2025-09-08
Soybeans,South,Loam,Conventional,Potassium-based,301.48,2.13,642.15,1165.4,3379,2025-03-27,2025-08-08
Soybeans,South,Peat,Conservation,Nitrogen-based,372.04,4.63,1722.55,1115.8,3641,2025-03-17,2025-09-12
Wheat,East,Clay,Conventional,Phosphorus-based,25.9,4.63,119.92,702.9,4911,2025-04-13,2025-09-10
Soybeans,South,Sandy,Conventional,None,332.77,4.86,1617.26,995.1,3123,2025-06-29,2025-11-16
Barley,West,Loam,Conservation,Nitrogen-based,270.82,3.23,874.75,335.7,918,2025-04-14,2025-07-21
Corn,North,Loam,Organic,Nitrogen-based,60.6,9.72,589.03,1177.4,4621,2025-03-08,2025-08-20
Corn,West,Loam,Conservation,Phosphorus-based,94.54,2.79,263.77,1164.4,1224,2025-05-19,2025-08-18
Wheat,South,Sandy,Organic,Potassium-based,288.31,8.17,2355.49,363.7,1229,2025-03-18,2025-06-20
Rice,Midwest,Sandy,Conventional,Nitrogen-based,155.22,2.8,434.62,499.4,1802,2025-04-02,2025-08-31
Wheat,North,Silt,Conventional,None,469.77,2.24,1052.28,300.2,2101,2025-03-01,2025-08-06
Rice,North,Clay,Organic,Nitrogen-based,411.18,11.05,4543.54,471.7,3978,2025-05-15,2025-10-03
Corn,East,Silt,Conventional,None,491.95,3.5,1721.82,1016.0,4472,2025-03-06,2025-08-28
Wheat,East,Clay,Organic,Compost,137.24,10.12,1388.87,578.3,1906,2025-04-10,2025-07-13
Barley,Midwest,Sandy,Organic,Compost,485.16,7.22,3502.86,288.4,3047,2025-04-24,2025-09-19
Soybeans,North,Sandy,Conventional,None,221.3,2.32,513.42,542.2,3309,2025-03-05,2025-08-09
Rice,Midwest,Silt,Mixed,Potassium-based,180.28,11.53,2078.63,1181.4,2252,2025-04-28,2025-08-04
Soybeans,East,Peat,Organic,Nitrogen-based,34.67,4.09,141.8,829.7,4741,2025-05-19,2025-09-07
Soybeans,East,Silt,Conservation,Nitrogen-based,35.85,10.53,377.5,616.2,4305,2025-03-18,2025-07-12
Wheat,North,Clay,Conservation,Compost,349.09,3.27,1141.52,366.5,644,2025-04-18,2025-07-26
Soybeans,West,Silt,Conventional,None,234.39,10.47,2454.06,1186.2,2501,2025-05-21,2025-11-06
Barley,South,Loam,Mixed,Nitrogen-based,121.0,1.64,198.44,1020.8,4938,2025-05-04,2025-10-01
Soybeans,East,Clay,Conventional,Nitrogen-based,310.85,6.87,2135.54,481.5,2464,2025-05-22,2025-10-09
Wheat,East,Clay,Mixed,Potassium-based,133.9,9.58,1282.76,270.1,1389,2025-04-23,2025-07-31
Barley,West,Peat,Organic,Phosphorus-based,293.04,11.32,3317.21,256.6,3865,2025-04-30,2025-08-03
Corn,West,Sandy,Organic,Compost,186.01,11.05,2055.41,320.4,1975,2025-03-08,2025-08-06
Soybeans,Midwest,Clay,Organic,Compost,413.54,10.11,4180.89,780.8,4528,2025-03-03,2025-06-05
Wheat,Midwest,Sandy,Organic,Phosphorus-based,412.14,10.83,4463.48,1128.8,4787,2025-03-25,2025-08-31
Corn,South,Silt,Conservation,Nitrogen-based,243.9,3.59,875.6,696.7,882,2025-05-08,2025-10-07
Corn,South,Loam,Conservation,Potassium-based,181.9,4.48,814.91,1042.9,639,2025-04-24,2025-09-16
Rice,North,Peat,Conventional,Potassium-based,187.65,4.53,850.05,645.9,2882,2025-04-09,2025-09-04
Barley,Midwest,Sandy,Mixed,Compost,404.8,5.46,2210.21,908.6,2768,2025-05-22,2025-10-21
Soybeans,East,Clay,Organic,Potassium-based,170.81,5.63,961.66,931.9,4814,2025-05-21,2025-11-15
Wheat,Midwest,Sandy,Organic,Phosphorus-based,112.44,7.22,811.82,374.0,4037,2025-04-19,2025-09-14
Rice,East,Clay,Mixed,Nitrogen-based,51.5,3.18,163.77,561.2,3056,2025-06-25,2025-11-12
Barley,West,Sandy,Mixed,Phosphorus-based,238.68,8.76,2090.84,837.3,3822,2025-06-03,2025-10-20
Rice,Midwest,Clay,Conventional,None,246.24,3.26,802.74,270.7,3967,2025-04-02,2025-07-04
Barley,West,Silt,Mixed,Compost,422.05,4.76,2008.96,561.5,1933,2025-06-19,2025-11-03
Barley,South,Clay,Organic,Potassium-based,118.41,6.79,804.0,734.8,2246,2025-03-18,2025-07-17
Soybeans,South,Clay,Organic,None,196.69,9.86,1939.36,1196.2,2270,2025-04-26,2025-09-13
Barley,North,Loam,Organic,Potassium-based,406.12,9.26,3760.67,674.5,3491,2025-06-11,2025-10-30
Rice,Midwest,Clay,Organic,Nitrogen-based,413.58,8.28,3424.44,1016.1,1716,2025-03-16,2025-08-26
Barley,West,Loam,Organic,Nitrogen-based,198.46,3.14,623.16,632.1,4717,2025-05-19,2025-09-19
Soybeans,East,Peat,Conventional,Nitrogen-based,234.97,7.24,1701.18,996.4,1016,2025-06-19,2025-10-22
Soybeans,South,Loam,Organic,Potassium-based,158.61,2.42,383.84,795.4,4912,2025-04-07,2025-09-13
Rice,South,Silt,Conventional,None,466.95,5.46,2549.55,1086.6,2856,2025-04-10,2025-08-20
Corn,East,Loam,Organic,Nitrogen-based,68.14,5.84,397.94,610.9,2036,2025-03-07,2025-06-20
Corn,West,Peat,Conservation,None,467.54,1.92,897.68,804.3,4142,2025-05-17,2025-10-12
Barley,West,Silt,Conservation,Potassium-based,345.09,4.38,1511.49,830.0,3191,2025-06-15,2025-11-04
Wheat,Midwest,Sandy,Conservation,None,270.47,11.53,3118.52,617.4,4755,2025-04-22,2025-08-08
Barley,Midwest,Sandy,Conservation,Potassium-based,26.0,11.51,299.26,344.3,1068,2025-05-02,2025-10-27
Rice,North,Loam,Conventional,Potassium-based,243.04,5.2,1263.81,293.6,3464,2025-06-20,2025-10-28
Rice,South,Loam,Conventional,Compost,209.8,1.95,409.11,216.7,3303,2025-05-28,2025-11-14
Rice,Midwest,Peat,Mixed,Potassium-based,89.0,3.38,300.82,1073.5,989,2025-04-01,2025-08-15
Rice,West,Peat,Organic,Potassium-based,331.64,5.62,1863.82,436.5,892,2025-04-07,2025-08-28
Rice,East,Clay,Conservation,Phosphorus-based,485.86,11.45,5563.1,411.5,3558,2025-03-22,2025-08-13
Soybeans,West,Peat,Conventional,Nitrogen-based,285.47,2.98,850.7,936.0,1081,2025-03-16,2025-07-02
Corn,South,Clay,Organic,Compost,360.23,9.52,3429.39,520.0,3631,2025-04-21,2025-09-19
Rice,West,Silt,Organic,Compost,43.54,2.64,114.95,706.0,3629,2025-03-29,2025-08-24
Wheat,North,Loam,Conventional,Compost,214.66,11.8,2532.99,362.5,901,2025-03-16,2025-08-17
Wheat,South,Silt,Conservation,Phosphorus-based,67.02,5.51,369.28,1159.7,142,2025-05-15,2025-10-19
Wheat,East,Peat,Mixed,Potassium-based,310.27,9.64,2991.0,1051.6,3449,2025-03-17,2025-07-12
Wheat,North,Silt,Organic,Nitrogen-based,469.86,5.1,2396.29,1063.8,1877,2025-06-09,2025-09-24
Soybeans,South,Silt,Mixed,None,334.27,8.09,2704.24,606.8,3301,2025-05-03,2025-08-26
Wheat,East,Silt,Conservation,Potassium-based,47.63,3.52,167.66,962.4,449,2025-05-30,2025-09-15
Rice,North,Peat,Conservation,Phosphorus-based,183.79,3.03,556.88,343.9,1667,2025-05-28,2025-10-19
Barley,North,Silt,Mixed,Potassium-based,279.83,11.35,3176.07,208.6,1229,2025-03-13,2025-08-06
Wheat,South,Clay,Conservation,Potassium-based,207.57,11.14,2312.33,220.0,3059,2025-05-11,2025-08-14
Soybeans,Midwest,Peat,Organic,Phosphorus-based,418.49,10.82,4528.06,786.6,3887,2025-04-25,2025-07-24
Soybeans,North,Silt,Mixed,Compost,409.19,8.07,3302.16,655.4,1880,2025-03-05,2025-06-10
Wheat,North,Peat,Conservation,Compost,309.8,9.99,3094.9,718.0,683,2025-03-12,2025-07-30
Barley,East,Sandy,Mixed,Nitrogen-based,192.99,2.22,428.44,207.5,4627,2025-04-10,2025-10-01
Wheat,West,Clay,Organic,Nitrogen-based,135.11,5.02,678.25,622.7,3477,2025-03-03,2025-08-27
Soybeans,South,Silt,Conservation,Compost,61.88,4.79,296.41,918.1,3501,2025-06-07,2025-09-29
Corn,South,Sandy,Organic,None,183.9,8.17,1502.46,642.7,3285,2025-04-02,2025-08-16
Rice,Midwest,Sandy,Conservation,Potassium-based,212.45,5.24,1113.24,932.2,2294,2025-06-29,2025-11-20
Soybeans,Midwest,Peat,Conventional,None,341.15,3.06,1043.92,433.0,1262,2025-05-25,2025-10-25
Wheat,South,Sandy,Conservation,Potassium-based,332.5,7.76,2580.2,1013.1,398,2025-04-19,2025-10-08
Rice,Midwest,Clay,Mixed,Compost,44.35,10.05,445.72,788.4,3447,2025-04-25,2025-08-02
Wheat,East,Clay,Conservation,Nitrogen-based,203.68,5.51,1122.28,410.8,2039,2025-06-16,2025-11-08
Wheat,South,Loam,Organic,Nitrogen-based,99.07,2.89,286.31,436.7,888,2025-03-09,2025-06-18
Corn,Midwest,Clay,Organic,None,86.84,3.57,310.02,828.0,2989,2025-06-13,2025-10-13
Rice,South,Sandy,Conservation,Nitrogen-based,415.38,3.99,1657.37,1029.9,1477,2025-05-21,2025-10-28
Rice,West,Clay,Mixed,Compost,30.54,4.65,142.01,615.6,2049,2025-04-19,2025-08-03
Corn,North,Peat,Conventional,None,215.4,8.25,1777.05,458.3,3372,2025-03-29,2025-08-26
Soybeans,South,Loam,Mixed,Potassium-based,92.42,7.81,721.8,1067.0,977,2025-04-08,2025-07-16
Wheat,North,Sandy,Conventional,Nitrogen-based,440.87,8.81,3884.06,869.3,3842,2025-05-30,2025-09-27
Barley,Midwest,Loam,Organic,Phosphorus-based,282.95,5.31,1502.46,648.1,1677,2025-06-08,2025-11-04
Wheat,North,Sandy,Mixed,Nitrogen-based,123.38,10.15,1252.31,687.9,3239,2025-04-14,2025-09-20
Wheat,South,Peat,Conventional,Potassium-based,256.19,3.64,932.53,404.3,2592,2025-03-17,2025-07-01
Soybeans,West,Loam,Conservation,None,368.43,6.42,2365.32,826.8,2855,2025-04-25,2025-09-11
Wheat,Midwest,Silt,Organic,Potassium-based,479.48,9.91,4751.65,558.7,2003,2025-06-06,2025-10-10
Corn,South,Sandy,Conservation,Phosphorus-based,118.02,3.39,400.09,1195.6,1482,2025-04-15,2025-10-03
Corn,Midwest,Silt,Organic,Compost,444.23,2.65,1177.21,680.2,4340,2025-05-06,2025-10-04
Rice,East,Loam,Mixed,Nitrogen-based,467.81,10.78,5042.99,685.9,2422,2025-05-08,2025-11-03
Barley,North,Silt,Mixed,None,459.05,5.1,2341.15,765.9,2656,2025-03-14,2025-08-30
Wheat,East,Silt,Organic,Compost,321.35,8.68,2789.32,1116.8,1961,2025-05-06,2025-10-14
Wheat,South,Loam,Organic,Potassium-based,318.61,1.77,563.94,1000.8,1966,2025-03-23,2025-09-16
Soybeans,West,Peat,Organic,None,207.57,8.75,1816.24,651.1,4147,2025-06-11,2025-11-24
Corn,Midwest,Silt,Mixed,Compost,378.67,4.82,1825.19,918.7,3275,2025-06-02,2025-09-28
Barley,North,Silt,Conventional,None,270.33,2.09,564.99,786.2,1198,2025-06-22,2025-10-21
Rice,Midwest,Peat,Conservation,Phosphorus-based,341.94,7.9,2701.33,692.4,1834,2025-06-17,2025-12-11
Corn,South,Silt,Conservation,Phosphorus-based,219.94,4.03,886.36,392.3,4763,2025-04-30,2025-10-16
Rice,Midwest,Silt,Mixed,Nitrogen-based,368.43,5.56,2048.47,663.9,3516,2025-03-23,2025-07-01
Soybeans,North,Silt,Conservation,Nitrogen-based,413.99,2.35,972.88,445.8,4726,2025-03-27,2025-06-30
Soybeans,South,Clay,Organic,Phosphorus-based,81.75,3.05,249.34,1114.8,780,2025-04-23,2025-08-25
Wheat,Midwest,Peat,Conventional,None,418.14,4.63,1935.99,535.4,2170,2025-03-10,2025-07-10
Barley,West,Silt,Conservation,Phosphorus-based,274.75,2.44,670.39,1152.3,4924,2025-05-28,2025-09-12
Rice,South,Peat,Conventional,Nitrogen-based,423.89,11.06,4688.22,733.1,1829,2025-05-16,2025-09-19
Corn,South,Sandy,Organic,Phosphorus-based,221.34,1.56,345.29,831.5,2291,2025-03-16,2025-06-26
Soybeans,West,Sandy,Conservation,Phosphorus-based,195.73,6.58,1287.9,742.9,767,2025-04-10,2025-09-20
Wheat,East,Silt,Mixed,None,458.38,2.79,1278.88,329.4,1712,2025-06-06,2025-12-02
Wheat,North,Peat,Conventional,Compost,133.07,4.73,629.42,575.8,780,2025-04-24,2025-10-11
Rice,East,Peat,Organic,Nitrogen-based,423.66,11.22,4753.47,299.1,1072,2025-06-09,2025-11-09
Soybeans,Midwest,Peat,Conventional,None,247.17,3.2,790.94,823.0,2946,2025-04-30,2025-07-29
Barley,West,Clay,Conservation,Phosphorus-based,261.91,11.64,3048.63,646.9,2232,2025-05-25,2025-10-24
Soybeans,East,Sandy,Conservation,Phosphorus-based,161.15,3.66,589.81,978.0,2563,2025-05-20,2025-11-14
Rice,South,Peat,Mixed,Compost,290.79,9.29,2701.44,420.5,2629,2025-05-26,2025-09-26
Rice,Midwest,Peat,Organic,Nitrogen-based,169.35,7.24,1226.09,364.6,2603,2025-06-26,2025-10-03
Soybeans,Midwest,Clay,Organic,Nitrogen-based,29.24,10.79,315.5,606.3,4492,2025-06-08,2025-11-28
Rice,East,Clay,Mixed,Potassium-based,143.28,7.32,1048.81,1126.6,3283,2025-04-18,2025-07-23
Soybeans,East,Peat,Mixed,Nitrogen-based,13.13,7.11,93.35,910.4,4133,2025-05-12,2025-10-04
Corn,West,Loam,Organic,Compost,489.39,3.55,1737.33,618.9,3267,2025-04-21,2025-10-07
Soybeans,North,Peat,Conventional,Potassium-based,483.22,3.25,1570.46,717.3,3097,2025-03-02,2025-07-06
Soybeans,East,Peat,Conventional,Potassium-based,203.63,11.12,2264.37,284.2,3327,2025-06-04,2025-09-30
Rice,East,Clay,Mixed,Phosphorus-based,366.9,4.94,1812.49,1184.6,2252,2025-06-28,2025-10-07
Rice,South,Clay,Conventional,Phosphorus-based,179.44,5.41,970.77,866.4,1828,2025-04-19,2025-08-03
Wheat,Midwest,Peat,Organic,Nitrogen-based,338.84,9.48,3212.2,485.4,2124,2025-06-25,2025-11-09
Wheat,North,Peat,Conservation,Potassium-based,404.66,5.06,2047.58,785.8,429,2025-05-25,2025-11-14
Corn,South,Peat,Conservation,Phosphorus-based,473.91,11.5,5449.96,309.5,2586,2025-04-12,2025-08-05
Wheat,West,Clay,Conventional,Compost,206.1,9.25,1906.42,1165.8,1255,2025-05-16,2025-11-04
Soybeans,West,Peat,Mixed,Phosphorus-based,393.82,7.77,3059.98,374.8,1990,2025-03-08,2025-06-17
Rice,East,Peat,Mixed,Phosphorus-based,140.3,10.75,1508.22,848.0,4577,2025-04-28,2025-08-16
Wheat,East,Silt,Mixed,Potassium-based,495.26,2.02,1000.43,445.5,2285,2025-05-04,2025-09-12
Wheat,West,Loam,Mixed,Potassium-based,22.63,4.2,95.05,917.6,2417,2025-05-20,2025-10-17
Corn,East,Sandy,Mixed,None,305.73,6.38,1950.56,976.8,3721,2025-03-12,2025-08-06
Corn,North,Loam,Conventional,Compost,333.16,3.88,1292.66,873.4,4591,2025-03-04,2025-07-25
Soybeans,East,Silt,Conservation,Potassium-based,347.14,9.31,3231.87,814.5,2611,2025-06-25,2025-10-26
Rice,Midwest,Sandy,Conservation,Nitrogen-based,68.99,11.15,769.24,1092.5,549,2025-05-16,2025-08-20
Corn,East,Peat,Conventional,Compost,469.88,5.95,2795.79,278.6,1454,2025-06-03,2025-10-05
Wheat,South,Silt,Mixed,Compost,98.78,5.09,502.79,530.9,1393,2025-04-10,2025-07-23
Rice,North,Peat,Conventional,Potassium-based,315.15,11.6,3655.74,448.3,2565,2025-03-07,2025-08-08
Rice,South,Clay,Conservation,Compost,119.11,6.17,734.91,1188.0,3202,2025-05-26,2025-11-21
Wheat,South,Silt,Organic,Potassium-based,160.54,6.64,1065.99,589.4,1949,2025-05-27,2025-09-18
Corn,Midwest,Clay,Conventional,Phosphorus-based,277.76,5.19,1441.57,932.6,3275,2025-05-08,2025-10-03
Wheat,North,Silt,Mixed,None,214.42,11.05,2369.34,884.7,4381,2025-05-08,2025-10-23
Rice,North,Silt,Conservation,Phosphorus-based,88.51,7.47,661.17,412.1,3299,2025-05-20,2025-11-11
Barley,North,Clay,Conservation,Potassium-based,93.76,9.5,890.72,439.0,1333,2025-03-30,2025-07-03
Barley,North,Sandy,Conservation,Potassium-based,214.89,10.02,2153.2,481.3,1537,2025-05-12,2025-09-30
Soybeans,North,Loam,Conservation,Phosphorus-based,381.07,5.09,1939.65,611.1,3452,2025-03-06,2025-08-21
Wheat,Midwest,Peat,Mixed,Nitrogen-based,450.0,6.05,2722.5,434.3,4130,2025-05-28,2025-11-21
Wheat,East,Silt,Organic,Nitrogen-based,51.22,10.41,533.2,219.7,352,2025-03-19,2025-07-07
Soybeans,South,Peat,Conservation,Nitrogen-based,202.62,5.31,1075.91,1079.4,118,2025-05-19,2025-10-26
Soybeans,North,Clay,Conventional,Potassium-based,59.12,9.84,581.74,1165.6,2859,2025-05-24,2025-09-22
