Shipment_Status,Transport_Mode,Package_Type,Delivery_Region,Payment_Status,Shipment_ID,Package_Weight_kg,Shipping_Cost,Delivery_Distance_km,Quantity,Order_Date,Delivery_Date
Out for Delivery,Train,Envelope,International,Overdue,1480,85.1,875.0,4002,236,10/19/2022,5/27/2022
Out for Delivery,Airplane,Box,Local,Paid,5319,7.3,962.1,774,927,1/28/2021,1/20/2020
Delivered,Truck,Envelope,Local,Overdue,2956,89.1,989.11,747,95,5/18/2022,11/22/2020
Out for Delivery,Train,Box,International,Overdue,6542,89.4,707.27,2209,611,9/17/2022,2/25/2021
In Transit,Airplane,Box,Local,Pending,4436,97.3,453.64,4257,479,2/3/2022,10/14/2021
Delivered,Airplane,Envelope,Local,Paid,1160,80.4,678.4,1439,663,9/4/2021,4/7/2021
Delivered,Train,Pallet,International,Overdue,6729,55.2,785.05,3666,469,10/13/2021,1/6/2021
Delayed,Airplane,Crate,International,Pending,5018,76.4,40.77,4751,612,12/10/2022,8/23/2020
In Transit,Airplane,Pallet,International,Overdue,5715,69.6,975.41,4995,802,7/12/2022,1/10/2020
In Transit,Truck,Box,Local,Overdue,1980,24.4,801.02,4458,274,8/20/2020,11/16/2022
Delivered,Airplane,Envelope,International,Paid,3806,43.4,564.24,3723,829,1/7/2020,9/11/2020
Delivered,Ship,Crate,National,Paid,1167,15.9,672.79,1948,294,6/11/2020,9/20/2022
In Transit,Airplane,Crate,International,Paid,6477,15.4,77.94,1604,927,11/1/2022,11/8/2020
Delayed,Airplane,Pallet,Local,Pending,2463,14.5,331.14,2352,216,12/17/2020,12/23/2021
Out for Delivery,Ship,Box,National,Paid,7129,17.7,452.27,1950,148,4/19/2021,1/23/2021
Out for Delivery,Train,Envelope,International,Pending,6474,60.4,869.56,2723,143,9/24/2020,5/12/2022
Out for Delivery,Ship,Envelope,Local,Paid,1300,21.0,780.24,4109,452,4/15/2020,2/5/2020
Out for Delivery,Train,Envelope,National,Overdue,7168,28.8,809.3,3810,627,1/20/2020,6/11/2021
In Transit,Truck,Box,Local,Overdue,5771,39.7,609.39,2945,978,10/12/2020,1/16/2020
Delayed,Ship,Box,National,Pending,4696,3.4,555.29,1219,614,7/10/2022,11/27/2020
Delivered,Airplane,Envelope,Local,Overdue,7912,6.1,774.48,4616,899,5/19/2021,3/24/2021
In Transit,Train,Box,International,Paid,7679,99.3,685.51,4145,17,3/21/2022,9/29/2022
Delayed,Truck,Pallet,International,Pending,2165,18.9,158.8,924,804,11/10/2021,9/28/2021
Delivered,Train,Envelope,Local,Paid,6537,24.5,709.28,534,142,3/5/2021,6/17/2021
Delayed,Train,Envelope,Local,Paid,9034,8.7,7.93,4821,551,9/23/2020,12/11/2022
In Transit,Truck,Crate,National,Pending,8763,49.4,795.56,1113,694,1/21/2022,1/26/2020
Out for Delivery,Ship,Pallet,National,Paid,4747,1.2,394.18,1333,242,8/8/2022,5/15/2020
Delayed,Train,Box,National,Pending,9254,49.6,279.57,2879,747,7/25/2020,5/19/2021
Out for Delivery,Train,Crate,Local,Paid,4175,57.3,563.89,3187,851,11/26/2020,6/20/2022
Delayed,Truck,Crate,Local,Overdue,1470,29.3,984.66,1516,210,6/19/2021,9/2/2022
Delivered,Train,Pallet,Local,Pending,1592,32.4,710.87,4567,911,6/4/2021,6/27/2021
Delivered,Truck,Pallet,International,Overdue,9922,38.1,936.35,711,302,4/19/2020,4/24/2022
Out for Delivery,Truck,Crate,International,Paid,5595,70.1,239.85,4173,867,6/11/2022,12/10/2021
Out for Delivery,Train,Box,Local,Paid,4957,28.5,526.49,4115,271,2/2/2022,7/3/2022
In Transit,Truck,Pallet,National,Overdue,1973,19.9,399.33,1804,360,8/21/2021,3/22/2020
In Transit,Truck,Box,Local,Overdue,2272,22.1,875.15,1812,480,4/11/2022,5/5/2022
In Transit,Airplane,Box,National,Pending,1272,36.9,361.64,1465,729,9/21/2021,1/23/2021
In Transit,Airplane,Pallet,International,Pending,1382,16.4,295.98,3761,794,6/10/2021,3/21/2021
Out for Delivery,Ship,Box,Local,Pending,3093,37.8,234.34,2281,996,2/6/2020,4/8/2022
Delayed,Ship,Pallet,International,Paid,9745,63.5,782.78,4046,162,1/16/2022,9/27/2021
In Transit,Truck,Crate,International,Overdue,3991,78.0,32.07,3262,426,9/9/2022,10/29/2021
Delayed,Train,Crate,International,Overdue,8428,60.8,336.93,3319,895,8/14/2020,6/7/2020
Delivered,Ship,Pallet,International,Paid,1915,19.5,351.32,4579,999,2/22/2021,7/2/2021
Out for Delivery,Airplane,Crate,Local,Overdue,5618,62.4,195.74,982,538,8/8/2021,5/26/2022
Delayed,Truck,Envelope,National,Pending,9940,23.9,255.18,3204,299,8/11/2022,11/9/2021
Delayed,Train,Crate,International,Overdue,6559,49.0,557.99,4315,140,12/7/2020,1/31/2022
Out for Delivery,Truck,Pallet,International,Overdue,8982,29.2,301.8,206,920,12/15/2021,10/15/2021
Delayed,Truck,Envelope,National,Overdue,4546,74.0,223.68,2734,404,4/21/2022,1/5/2020
Delayed,Ship,Pallet,National,Overdue,8539,72.2,310.7,4538,102,3/23/2020,1/30/2022
Delayed,Airplane,Envelope,Local,Overdue,5451,3.4,820.5,3207,844,6/8/2020,4/12/2022
Delayed,Airplane,Pallet,Local,Paid,2868,86.0,964.16,411,526,7/26/2020,10/23/2020
Delayed,Train,Crate,National,Overdue,5313,85.3,931.77,2435,667,6/6/2021,4/1/2021
In Transit,Truck,Crate,International,Overdue,2390,44.5,319.39,3052,65,2/28/2020,11/21/2020
Delayed,Ship,Box,International,Paid,1290,10.6,676.06,740,445,4/8/2021,2/2/2020
Delayed,Truck,Crate,Local,Paid,8890,88.4,914.47,965,375,5/18/2021,11/10/2021
Delayed,Truck,Crate,International,Pending,1965,60.1,310.48,774,924,4/20/2020,3/10/2020
Out for Delivery,Train,Pallet,Local,Overdue,6748,21.1,206.63,2444,691,4/14/2020,9/18/2020
Delayed,Airplane,Box,International,Overdue,3950,24.2,415.12,1521,182,3/13/2020,5/5/2021
Delayed,Airplane,Pallet,Local,Pending,6184,30.2,598.29,3780,94,9/28/2022,2/13/2021
Out for Delivery,Train,Crate,National,Pending,6192,23.8,826.62,2308,467,5/12/2022,2/18/2021
Delayed,Train,Box,International,Pending,8517,57.3,897.12,2434,615,4/18/2020,12/31/2021
Delivered,Ship,Crate,International,Pending,3464,96.4,479.98,1030,967,1/20/2021,6/22/2020
Out for Delivery,Train,Pallet,Local,Overdue,2608,12.0,995.15,454,273,2/28/2022,3/27/2022
Delayed,Truck,Crate,National,Pending,2130,68.6,544.07,2432,206,8/4/2020,10/15/2020
Delayed,Airplane,Crate,National,Overdue,3808,24.3,133.82,4308,680,2/24/2021,12/8/2022
In Transit,Ship,Box,National,Paid,9028,24.7,102.5,1068,316,4/8/2020,6/12/2020
Out for Delivery,Airplane,Pallet,Local,Overdue,2706,77.1,861.96,1303,943,9/19/2022,3/26/2020
Delivered,Ship,Crate,International,Overdue,7145,55.7,295.88,500,962,6/1/2020,11/26/2020
Out for Delivery,Truck,Envelope,Local,Overdue,9667,51.9,227.83,4832,598,10/16/2020,2/14/2022
Delivered,Truck,Envelope,International,Overdue,7431,13.5,527.9,4925,36,4/30/2022,1/2/2021
In Transit,Train,Envelope,International,Paid,1383,1.5,452.41,2022,367,10/30/2020,3/28/2020
In Transit,Ship,Box,International,Pending,1659,53.1,168.9,1220,187,8/31/2020,12/11/2022
Delivered,Airplane,Pallet,National,Pending,5501,1.3,627.51,4273,704,8/26/2021,1/13/2020
Out for Delivery,Ship,Pallet,National,Pending,2512,20.6,241.22,4812,36,12/24/2021,6/10/2021
Out for Delivery,Truck,Envelope,Local,Overdue,5163,82.7,396.01,4925,31,10/12/2021,2/1/2022
In Transit,Train,Box,National,Pending,8012,28.5,898.69,1087,93,1/11/2022,7/2/2022
Delayed,Ship,Box,International,Paid,2543,33.9,211.65,4293,740,10/5/2021,5/17/2021
Out for Delivery,Truck,Pallet,International,Pending,5107,64.7,188.66,23,293,10/27/2020,7/27/2021
Out for Delivery,Ship,Crate,National,Overdue,2435,97.0,711.46,3348,228,6/25/2021,8/30/2022
In Transit,Ship,Pallet,National,Paid,2995,26.5,781.15,105,767,8/5/2022,4/25/2021
Delayed,Truck,Crate,National,Overdue,5936,71.2,956.51,1816,300,5/29/2022,3/3/2021
Delayed,Truck,Envelope,Local,Paid,6664,67.3,593.66,4404,977,1/14/2022,9/10/2021
Out for Delivery,Train,Envelope,National,Pending,2324,4.3,838.13,3029,113,11/26/2022,2/25/2020
Delivered,Truck,Box,National,Pending,6805,27.4,661.19,2212,264,6/5/2020,12/18/2022
In Transit,Airplane,Box,International,Paid,3561,12.9,398.72,3878,852,7/7/2021,8/12/2022
Delivered,Truck,Envelope,International,Pending,7760,10.3,452.04,1216,462,11/24/2022,3/12/2021
Delivered,Truck,Pallet,Local,Paid,6719,15.9,566.06,3563,842,3/21/2021,10/22/2022
Delayed,Train,Pallet,Local,Overdue,8317,95.1,598.07,3848,930,9/21/2020,12/6/2022
In Transit,Truck,Box,National,Overdue,1867,92.2,361.82,36,122,11/29/2020,7/13/2021
Delayed,Truck,Box,International,Pending,3060,87.1,145.12,4564,265,5/12/2022,4/9/2021
In Transit,Ship,Pallet,Local,Pending,5481,27.3,478.6,2702,76,12/18/2020,10/1/2021
Out for Delivery,Airplane,Pallet,International,Paid,4087,34.9,511.65,651,742,11/22/2021,8/21/2021
In Transit,Train,Box,National,Paid,4009,38.1,224.49,420,832,6/30/2020,2/10/2022
Delayed,Airplane,Box,International,Pending,9018,29.2,764.21,3984,734,12/11/2022,6/22/2021
Out for Delivery,Truck,Box,International,Overdue,5507,91.9,50.24,2821,264,8/15/2020,1/31/2021
In Transit,Ship,Envelope,National,Pending,6220,77.7,668.82,3796,81,3/12/2022,12/13/2020
Out for Delivery,Ship,Crate,International,Paid,1278,0.8,470.88,642,233,2/18/2021,7/30/2022
In Transit,Truck,Box,Local,Pending,3090,23.1,413.98,3263,714,9/9/2021,9/5/2020
Out for Delivery,Airplane,Crate,National,Pending,2299,34.7,450.98,1690,287,9/9/2022,9/20/2020
Out for Delivery,Truck,Crate,Local,Pending,1043,10.5,255.48,419,454,11/17/2022,4/13/2022
Out for Delivery,Truck,Box,Local,Paid,7066,10.0,445.55,2950,505,9/12/2022,3/24/2021
Out for Delivery,Train,Pallet,National,Overdue,6777,96.7,192.3,383,634,12/20/2020,10/12/2022
Delivered,Airplane,Envelope,National,Paid,8477,25.3,201.69,2796,266,12/18/2020,9/3/2020
Delayed,Airplane,Box,National,Paid,3830,44.9,864.42,4676,970,10/5/2021,5/22/2020
In Transit,Airplane,Box,Local,Paid,5469,51.6,269.17,779,458,3/7/2021,3/31/2020
Delayed,Truck,Pallet,International,Paid,2296,27.8,4.48,4530,125,3/15/2021,5/9/2022
In Transit,Truck,Envelope,National,Overdue,3634,45.6,52.71,1271,430,7/13/2022,10/7/2022
Out for Delivery,Truck,Crate,International,Overdue,5257,10.3,91.27,467,54,5/18/2022,4/5/2022
Delivered,Truck,Box,International,Paid,9342,30.6,841.24,4741,569,4/28/2022,12/4/2020
Delivered,Train,Envelope,Local,Overdue,3538,27.1,467.58,2926,792,10/21/2022,3/24/2021
Delayed,Airplane,Envelope,Local,Paid,5374,84.6,210.52,4213,427,2/14/2022,7/9/2020
Delayed,Truck,Envelope,International,Overdue,6377,71.8,418.85,1784,442,7/24/2021,10/22/2022
In Transit,Truck,Pallet,National,Pending,2167,44.7,450.93,2080,296,3/2/2022,8/4/2021
Out for Delivery,Airplane,Envelope,Local,Paid,8839,35.3,105.44,2579,60,8/16/2021,2/21/2020
In Transit,Truck,Box,National,Paid,2628,40.0,198.1,4555,374,1/23/2022,9/24/2020
Delivered,Truck,Crate,International,Paid,1841,48.7,410.63,1821,831,3/10/2021,4/23/2022
Out for Delivery,Truck,Box,National,Paid,3887,63.3,353.47,3468,348,1/14/2020,5/30/2020
In Transit,Airplane,Box,International,Pending,5177,25.0,874.8,721,664,4/29/2021,9/1/2022
Delivered,Airplane,Crate,Local,Overdue,4173,93.7,66.68,4006,997,4/5/2022,6/8/2020
Delayed,Airplane,Crate,International,Overdue,3714,84.8,187.38,4145,295,4/9/2022,1/5/2022
Delivered,Ship,Crate,National,Pending,7406,77.4,944.42,4202,778,11/16/2022,7/7/2020
In Transit,Truck,Pallet,National,Paid,4633,67.2,706.74,902,453,3/26/2020,6/8/2022
Delivered,Airplane,Crate,International,Paid,9301,81.8,436.02,47,875,2/27/2021,3/10/2021
Out for Delivery,Ship,Crate,International,Pending,2082,27.8,224.25,2733,88,9/17/2020,7/15/2021
Delivered,Train,Envelope,International,Pending,3795,86.7,35.14,727,912,10/30/2021,12/2/2020
In Transit,Airplane,Envelope,Local,Paid,3944,87.3,69.71,3318,153,9/29/2020,1/8/2020
Out for Delivery,Airplane,Box,National,Overdue,2561,94.8,118.47,2053,911,12/23/2022,7/24/2020
Delivered,Train,Envelope,International,Pending,9309,69.6,700.04,1475,582,12/14/2020,10/27/2020
Delivered,Train,Envelope,International,Pending,5814,68.5,924.56,4398,283,3/29/2022,9/12/2020
Out for Delivery,Ship,Box,Local,Overdue,5219,12.3,949.42,1849,178,2/4/2020,9/25/2022
In Transit,Truck,Envelope,International,Paid,4581,67.3,410.12,1994,119,9/4/2021,1/18/2022
In Transit,Ship,Pallet,International,Overdue,7262,96.8,333.43,3881,607,5/26/2022,10/24/2022
Delivered,Truck,Pallet,International,Pending,1189,40.8,774.1,1497,340,6/15/2020,3/20/2022
Delivered,Train,Crate,National,Paid,5849,81.4,786.91,1180,288,8/24/2021,9/26/2022
Delivered,Train,Crate,National,Paid,4714,40.7,816.04,1788,949,8/18/2022,9/1/2022
Delayed,Train,Pallet,Local,Paid,9600,60.6,698.78,4526,836,12/21/2021,1/8/2020
In Transit,Truck,Crate,Local,Overdue,6306,56.6,639.9,2381,499,4/12/2022,10/5/2021
Out for Delivery,Truck,Crate,Local,Pending,7682,98.9,70.49,3149,515,6/10/2022,3/21/2021
Delivered,Truck,Pallet,International,Paid,1410,44.5,441.52,715,918,10/31/2020,7/20/2022
Out for Delivery,Train,Envelope,National,Overdue,1886,13.0,176.0,2008,862,7/17/2022,3/13/2022
In Transit,Airplane,Envelope,National,Pending,4597,97.5,411.05,2152,41,1/25/2020,7/6/2021
Delivered,Truck,Pallet,Local,Paid,6502,97.5,61.78,3895,855,3/8/2020,12/11/2021
Delayed,Train,Pallet,Local,Paid,1434,85.3,648.14,4541,385,2/17/2022,12/13/2020
Out for Delivery,Truck,Pallet,Local,Overdue,7324,89.0,211.37,804,546,2/24/2021,7/5/2022
In Transit,Truck,Envelope,Local,Paid,7289,66.8,842.91,2980,558,10/18/2020,7/19/2021
Delayed,Airplane,Pallet,National,Paid,3150,56.2,545.61,678,75,5/20/2022,3/6/2021
Delivered,Train,Envelope,Local,Paid,1550,72.2,74.72,4977,482,2/19/2020,12/21/2021
Delivered,Ship,Box,National,Pending,9101,66.4,593.17,3060,980,10/13/2022,11/18/2022
Out for Delivery,Airplane,Box,International,Pending,4934,65.6,537.29,723,352,3/14/2020,10/20/2022
Delivered,Train,Envelope,National,Paid,1364,25.5,203.78,1037,737,9/29/2022,1/12/2022
In Transit,Train,Pallet,National,Paid,5744,86.6,681.13,2624,103,10/10/2020,9/15/2022
Delayed,Airplane,Crate,Local,Overdue,4023,6.1,999.64,2989,690,7/17/2021,12/27/2022
Out for Delivery,Airplane,Crate,International,Paid,6873,34.7,984.97,769,625,4/6/2022,6/15/2020
Delayed,Truck,Crate,Local,Overdue,7751,24.3,802.89,2938,82,4/9/2020,2/24/2020
In Transit,Ship,Crate,Local,Pending,2299,29.5,301.84,3498,47,9/26/2020,7/18/2021
Delivered,Truck,Box,National,Pending,9250,18.1,758.07,2857,312,4/23/2022,4/7/2021
In Transit,Airplane,Box,National,Overdue,7459,29.1,91.92,2357,771,11/15/2022,1/26/2021
In Transit,Truck,Pallet,International,Overdue,9896,71.5,544.34,2089,795,9/26/2021,3/27/2022
In Transit,Truck,Envelope,International,Pending,5650,21.1,690.01,3967,578,8/26/2021,1/26/2021
Delayed,Ship,Crate,National,Overdue,9011,42.6,940.12,2532,284,2/27/2021,11/29/2022
Delayed,Truck,Box,International,Overdue,6269,70.1,961.61,3836,733,8/19/2022,11/1/2021
Out for Delivery,Ship,Crate,International,Overdue,1083,79.4,152.22,1615,448,1/12/2022,5/12/2021
Delivered,Train,Envelope,National,Overdue,2825,43.2,901.8,2249,663,6/18/2022,3/16/2021
Delayed,Truck,Pallet,Local,Overdue,3690,54.1,911.5,1794,501,9/13/2022,3/4/2022
Out for Delivery,Train,Envelope,National,Pending,9942,67.0,200.38,2647,607,10/24/2020,7/7/2021
Out for Delivery,Airplane,Box,Local,Overdue,9321,16.8,289.82,808,393,12/9/2020,4/29/2021
Out for Delivery,Truck,Crate,Local,Overdue,7713,22.2,982.14,208,999,3/23/2020,1/2/2020
Delivered,Airplane,Pallet,National,Paid,1671,52.6,450.8,2271,581,11/27/2020,3/7/2020
In Transit,Truck,Pallet,International,Paid,8602,62.9,654.97,2712,139,3/14/2021,12/30/2020
Delivered,Train,Pallet,International,Overdue,6284,99.3,817.02,252,334,3/14/2021,1/29/2022
Delayed,Airplane,Envelope,Local,Paid,8026,20.5,670.88,163,764,6/6/2021,9/11/2021
Out for Delivery,Train,Envelope,Local,Overdue,1100,18.1,819.51,774,897,6/22/2021,11/21/2020
In Transit,Ship,Pallet,International,Paid,9793,16.0,78.0,409,827,9/15/2022,8/6/2021
Delivered,Truck,Crate,International,Paid,2654,93.7,187.15,291,195,9/10/2021,10/5/2021
In Transit,Airplane,Box,National,Paid,8603,72.9,231.53,70,900,7/30/2022,6/1/2022
In Transit,Airplane,Pallet,National,Paid,2918,10.4,335.96,1645,950,9/13/2022,7/11/2021
In Transit,Airplane,Crate,National,Overdue,1149,12.0,577.36,991,728,1/18/2020,2/10/2022
Delivered,Truck,Envelope,National,Paid,1700,30.0,554.38,195,259,5/9/2022,4/11/2020
Out for Delivery,Truck,Pallet,Local,Overdue,3894,83.1,232.29,642,156,8/31/2020,4/11/2021
Out for Delivery,Ship,Crate,Local,Paid,7485,66.3,754.48,4471,996,5/11/2021,8/19/2021
In Transit,Train,Pallet,Local,Paid,2738,86.7,93.91,3990,23,8/15/2021,11/22/2020
Delayed,Airplane,Box,International,Pending,5047,42.1,495.97,4002,10,1/30/2021,11/22/2021
Delivered,Train,Envelope,International,Overdue,7725,13.3,556.51,3161,134,4/19/2022,3/11/2020
Out for Delivery,Train,Crate,International,Overdue,6282,41.6,460.95,2903,37,6/28/2020,8/27/2022
Delivered,Truck,Box,Local,Paid,6356,64.1,658.73,1310,750,3/1/2022,4/21/2022
Delivered,Airplane,Pallet,National,Paid,1481,37.0,274.01,2089,996,7/24/2022,5/15/2022
Delayed,Truck,Crate,International,Overdue,6529,18.0,463.38,1399,263,4/28/2022,9/23/2022
In Transit,Ship,Crate,International,Paid,9224,83.1,497.59,3494,333,5/16/2022,11/10/2022
Out for Delivery,Airplane,Crate,National,Pending,2050,33.8,974.51,1815,954,2/23/2020,2/27/2021
Delayed,Ship,Pallet,International,Overdue,9689,43.9,997.51,4364,487,1/13/2021,11/23/2020
Delivered,Train,Pallet,International,Pending,4968,4.6,362.89,1586,546,7/1/2020,2/23/2020
Delivered,Ship,Crate,Local,Overdue,7419,95.1,898.54,3475,518,3/13/2022,10/11/2021
Out for Delivery,Ship,Envelope,National,Paid,8013,37.6,181.05,808,890,6/27/2022,11/18/2021
In Transit,Ship,Pallet,International,Overdue,6892,7.4,280.08,1432,889,1/20/2021,10/4/2020
In Transit,Train,Box,Local,Pending,7910,78.8,417.36,4319,244,5/8/2021,8/4/2020
Delivered,Airplane,Envelope,International,Paid,7617,8.5,639.84,2276,164,1/15/2021,12/10/2020
Delayed,Train,Envelope,National,Pending,4006,89.6,257.2,59,1000,5/12/2022,3/8/2021
Out for Delivery,Airplane,Pallet,National,Paid,8953,70.9,15.65,3556,989,1/31/2021,3/12/2021
Delivered,Truck,Crate,International,Pending,1577,98.5,378.12,3891,366,8/22/2020,6/14/2022
Delivered,Ship,Pallet,International,Pending,2968,41.5,331.39,273,367,8/14/2022,2/21/2021
Delayed,Ship,Pallet,National,Paid,4862,27.2,620.64,4075,883,8/10/2020,10/3/2020
Delivered,Train,Crate,Local,Overdue,8279,10.2,258.09,730,911,3/7/2020,7/11/2022
In Transit,Ship,Crate,International,Paid,6630,70.8,545.46,3631,996,10/14/2020,3/13/2022
Delivered,Ship,Pallet,National,Overdue,4770,4.8,539.21,1363,169,7/28/2022,1/5/2022
Delayed,Airplane,Box,National,Overdue,3655,76.1,878.86,3817,963,12/25/2022,4/18/2021
Out for Delivery,Train,Box,International,Paid,5427,22.7,770.79,2598,837,8/9/2021,11/18/2021
