harvest_date,harvest_metric_tons
2001-11-01,6143.37
2001-12-01,5880.6
2002-01-01,5022.62
2002-02-01,5567.09
2002-03-01,6601.75
2002-04-01,7840.51
2002-05-01,8229.9
2002-06-01,9350.68
2002-07-01,9608.77
2002-08-01,9264.09
2002-09-01,9317.91
2002-10-01,7754.24
2002-11-01,6083.69
2002-12-01,6053.5
2003-01-01,6192.75
2003-02-01,6118.61
2003-03-01,6043.22
2003-04-01,7518.02
2003-05-01,9243.42
2003-06-01,9370.07
2003-07-01,10080.34
2003-08-01,9913.88
2003-09-01,8525.57
2003-10-01,6541.67
2003-11-01,5540.56
2003-12-01,5523.71
2004-01-01,5511.6
2004-02-01,5470.52
2004-03-01,7296.34
2004-04-01,7336.95
2004-05-01,8795.98
2004-06-01,9813.52
2004-07-01,10579.45
2004-08-01,9290.2
2004-09-01,8207.11
2004-10-01,7916.08
2004-11-01,6481.47
2004-12-01,6193.98
2005-01-01,5819.67
2005-02-01,5847.17
2005-03-01,6899.43
2005-04-01,7852.64
2005-05-01,9139.73
2005-06-01,8949.5
2005-07-01,10780.11
2005-08-01,9509.52
2005-09-01,9896.56
2005-10-01,7379.27
2005-11-01,6921.88
2005-12-01,6388.16
2006-01-01,5998.35
2006-02-01,5989.3
2006-03-01,6952.16
2006-04-01,7964.95
2006-05-01,9043.72
2006-06-01,10365.12
2006-07-01,10499.96
2006-08-01,9850.24
2006-09-01,9614.86
2006-10-01,8320.05
2006-11-01,7409.5
2006-12-01,6552.61
2007-01-01,5759.85
2007-02-01,6161.18
2007-03-01,7436.55
2007-04-01,8501.13
2007-05-01,9392.68
2007-06-01,10258.82
2007-07-01,10972.18
2007-08-01,10035.71
2007-09-01,9641.48
2007-10-01,8291.73
2007-11-01,5998.81
2007-12-01,6866.82
2008-01-01,6488.9
2008-02-01,6791.97
2008-03-01,7781.92
2008-04-01,8444.85
2008-05-01,9788.68
2008-06-01,10259.16
2008-07-01,10788.46
2008-08-01,10347.21
2008-09-01,9633.95
2008-10-01,8720.8
2008-11-01,7138.62
2008-12-01,7364.58
2009-01-01,5997.89
2009-02-01,6232.28
2009-03-01,7880.34
2009-04-01,8864.58
2009-05-01,9918.44
2009-06-01,10737.68
2009-07-01,10820.71
2009-08-01,10228.72
2009-09-01,9776.53
2009-10-01,8425.49
2009-11-01,7916.29
2009-12-01,6730.77
2010-01-01,6211.08
2010-02-01,6694.76
2010-03-01,7769.53
2010-04-01,8540.2
2010-05-01,9562.22
2010-06-01,10753.05
2010-07-01,11060.74
2010-08-01,10515.33
2010-09-01,9735.14
2010-10-01,8893.72
2010-11-01,7218.17
2010-12-01,6439.63
2011-01-01,6398.54
2011-02-01,5682.54
2011-03-01,7883.82
2011-04-01,9403.87
2011-05-01,10300.18
2011-06-01,10761.78
2011-07-01,11118.34
2011-08-01,9291.87
2011-09-01,10043.52
2011-10-01,8861.47
2011-11-01,7987.95
2011-12-01,6792.71
2012-01-01,6981.77
2012-02-01,7643.7
2012-03-01,7886.93
2012-04-01,9178.1
2012-05-01,10391.55
2012-06-01,10827.33
2012-07-01,10153.43
2012-08-01,10997.16
2012-09-01,10234.19
2012-10-01,8841.95
2012-11-01,8033.58
2012-12-01,7406.54
2013-01-01,7457.9
2013-02-01,7592.99
2013-03-01,8828.61
2013-04-01,8918.93
2013-05-01,10605.31
2013-06-01,11181.93
2013-07-01,12191.43
2013-08-01,10859.85
2013-09-01,10056.1
2013-10-01,9052.71
2013-11-01,7431.64
2013-12-01,5998.23
2014-01-01,6834.3
2014-02-01,6259.88
2014-03-01,8344.61
2014-04-01,9994.16
2014-05-01,10782.65
2014-06-01,11065.84
2014-07-01,11260.55
2014-08-01,11464.93
2014-09-01,10037.92
2014-10-01,10053.51
2014-11-01,8737.8
2014-12-01,7368.03
2015-01-01,6650.4
2015-02-01,8031.1
2015-03-01,8334.91
2015-04-01,9920.74
2015-05-01,10041.95
2015-06-01,11207.97
2015-07-01,11726.84
2015-08-01,11459.2
2015-09-01,10492.48
2015-10-01,9780.5
2015-11-01,8101.33
2015-12-01,7632.41
2016-01-01,7442.1
2016-02-01,6687.3
2016-03-01,8774.07
2016-04-01,9243.88
2016-05-01,10213.06
2016-06-01,12014.94
2016-07-01,11991.31
2016-08-01,11330.79
2016-09-01,11342.9
2016-10-01,9752.99
2016-11-01,9037.75
2016-12-01,7855.88
2017-01-01,8271.26
2017-02-01,8471.61
2017-03-01,8587.86
2017-04-01,10127.55
2017-05-01,11125.88
2017-06-01,12196.78
2017-07-01,11687.28
2017-08-01,11982.87
2017-09-01,11320.45
2017-10-01,9246.94
2017-11-01,8360.86
2017-12-01,7268.51
2018-01-01,7605.71
2018-02-01,8258.38
2018-03-01,9350.82
2018-04-01,9963.43
2018-05-01,11620.02
2018-06-01,11384.72
2018-07-01,11578.82
2018-08-01,11873.31
2018-09-01,11234.42
2018-10-01,10001.06
2018-11-01,8201.4
2018-12-01,8101.05
2019-01-01,7393.44
2019-02-01,8391.63
2019-03-01,9103.31
2019-04-01,9758.54
2019-05-01,11020.15
2019-06-01,11647.03
2019-07-01,12303.06
2019-08-01,12377.06
2019-09-01,10905.0
2019-10-01,10338.92
2019-11-01,8889.41
2019-12-01,8004.74
2020-01-01,7962.54
2020-02-01,7944.91
2020-03-01,8931.22
2020-04-01,9818.24
2020-05-01,12037.65
2020-06-01,12180.1
2020-07-01,12230.1
2020-08-01,12267.65
2020-09-01,11360.69
2020-10-01,10235.16
2020-11-01,9439.96
2020-12-01,8697.37
2021-01-01,7964.32
2021-02-01,8255.71
2021-03-01,9178.73
2021-04-01,9581.83
2021-05-01,10969.68
2021-06-01,12796.16
2021-07-01,13200.74
2021-08-01,12255.59
2021-09-01,11751.79
2021-10-01,10571.44
2021-11-01,10452.61
2021-12-01,8974.1
2022-01-01,8255.23
2022-02-01,8272.8
2022-03-01,8862.74
2022-04-01,10608.71
2022-05-01,11385.28
2022-06-01,11969.97
2022-07-01,12548.7
2022-08-01,12114.21
2022-09-01,12290.5
2022-10-01,10921.07
2022-11-01,9522.21
2022-12-01,9250.22
2023-01-01,8477.08
2023-02-01,8455.79
2023-03-01,10108.09
2023-04-01,9676.12
2023-05-01,11436.96
2023-06-01,12551.14
2023-07-01,12618.53
2023-08-01,12158.78
2023-09-01,12174.16
2023-10-01,11430.8
2023-11-01,9185.5
2023-12-01,9079.28
