product_id,product_name,category,brand,price,cost,stock_quantity,supplier,date_added,last_sold_date,status,gross_margin
74,Speed Demon,hybrid,Specialized,700.18,3942.03,986.75,Youspan,7/11/2019,9/12/2020,error: undefined method `first' for nil:NilClass,-463
75,Urban Cruiser,hybrid,Specialized,1538.99,2776.32,849.01,Eare,10/20/2019,3/30/2021,error: undefined method `first' for nil:NilClass,-80.4
76,Trail Blazer,road,Cannondale,1226.74,3710.58,938.59,Voolia,12/22/2019,4/14/2021,error: undefined method `first' for nil:NilClass,-202.47
77,Mountain Beast,hybrid,Cannondale,2156.9,452.61,635.31,Leexo,4/26/2019,11/20/2020,error: undefined method `first' for nil:NilClass,79.02
78,Urban Cruiser,hybrid,Trek,4376.57,59.34,520.58,Izio,6/20/2019,9/17/2021,error: undefined method `first' for nil:NilClass,98.64
79,City Slicker,BMX,Trek,1288.13,173.64,394.44,Yodoo,9/8/2019,3/4/2020,error: undefined method `first' for nil:NilClass,86.52
80,Urban Cruiser,cruiser,Cannondale,2350.89,1846.05,210.35,Yakitri,11/3/2018,10/30/2020,error: undefined method `first' for nil:NilClass,21.47
81,Trail Blazer,cruiser,Cannondale,2222.91,45.0,351.89,Dynabox,7/7/2018,3/26/2021,error: undefined method `first' for nil:NilClass,97.98
82,Mountain Beast,BMX,Cannondale,617.35,3512.25,917.06,Oyonder,7/11/2019,12/19/2021,error: undefined method `first' for nil:NilClass,-468.92
83,Urban Cruiser,road,Trek,426.44,2880.76,989.14,Realbuzz,11/1/2019,10/6/2021,error: undefined method `first' for nil:NilClass,-575.54
84,Speed Demon,cruiser,Scott,2840.05,1054.32,437.03,Aivee,11/16/2018,10/5/2020,error: undefined method `first' for nil:NilClass,62.88
85,Mountain Beast,cruiser,Giant,1818.45,2692.88,644.05,Demimbu,10/31/2019,9/14/2021,error: undefined method `first' for nil:NilClass,-48.09
86,Speed Demon,mountain,Cannondale,4391.51,2413.69,433.19,Photobean,12/13/2018,7/11/2021,error: undefined method `first' for nil:NilClass,45.04
87,Mountain Beast,cruiser,Giant,4293.12,2605.8,621.86,Oozz,12/10/2018,12/7/2020,error: undefined method `first' for nil:NilClass,39.3
88,City Slicker,hybrid,Trek,818.4,3754.76,705.31,Jamia,7/12/2019,6/24/2021,error: undefined method `first' for nil:NilClass,-358.79
89,Speed Demon,BMX,Giant,53.98,3674.9,155.15,Jaxbean,4/6/2018,8/20/2020,error: undefined method `first' for nil:NilClass,-6707.89
90,Urban Cruiser,road,Trek,1266.18,960.76,43.35,Eimbee,3/14/2019,12/8/2021,error: undefined method `first' for nil:NilClass,24.12
91,Urban Cruiser,hybrid,Specialized,1426.94,2451.88,883.69,Meevee,7/8/2019,12/6/2021,error: undefined method `first' for nil:NilClass,-71.83
92,City Slicker,road,Cannondale,4846.58,1770.55,720.75,Quatz,12/4/2018,11/5/2021,error: undefined method `first' for nil:NilClass,63.47
93,Speed Demon,BMX,Cannondale,2416.84,3042.42,854.07,Fivebridge,12/9/2018,4/23/2021,error: undefined method `first' for nil:NilClass,-25.88
94,Mountain Beast,mountain,Giant,3272.13,258.16,374.63,Shuffletag,11/5/2018,6/3/2020,error: undefined method `first' for nil:NilClass,92.11
95,Speed Demon,hybrid,Specialized,2209.94,386.02,871.29,Oodoo,9/21/2019,1/4/2020,error: undefined method `first' for nil:NilClass,82.53
96,Speed Demon,road,Specialized,3279.23,206.76,94.33,Aibox,1/8/2019,1/9/2021,error: undefined method `first' for nil:NilClass,93.69
97,Mountain Beast,mountain,Specialized,2102.93,3151.36,970.29,Bubblebox,8/10/2019,1/20/2020,error: undefined method `first' for nil:NilClass,-49.86
98,Trail Blazer,mountain,Specialized,1509.74,1796.53,638.32,Rhynyx,3/31/2018,12/10/2020,error: undefined method `first' for nil:NilClass,-19
99,Trail Blazer,BMX,Cannondale,3233.37,2485.53,714.2,Jabberbean,12/10/2019,12/29/2021,error: undefined method `first' for nil:NilClass,23.13
100,Trail Blazer,cruiser,Specialized,113.22,3910.96,376.91,Tagopia,10/17/2018,2/13/2020,error: undefined method `first' for nil:NilClass,-3354.3
101,Speed Demon,BMX,Trek,2256.99,3630.02,817.77,Twitterbridge,3/20/2019,10/25/2020,error: undefined method `first' for nil:NilClass,-60.83
102,Urban Cruiser,mountain,Giant,2258.19,2299.94,411.42,Thoughtworks,12/13/2018,11/26/2020,error: undefined method `first' for nil:NilClass,-1.85
103,City Slicker,BMX,Specialized,3630.06,2830.26,937.56,Devbug,10/3/2018,10/24/2021,error: undefined method `first' for nil:NilClass,22.03
104,Speed Demon,cruiser,Scott,2296.41,3475.44,266.85,Skimia,8/14/2018,5/6/2020,error: undefined method `first' for nil:NilClass,-51.34
105,Trail Blazer,hybrid,Specialized,3184.87,1204.14,779.03,Skyba,10/17/2019,7/4/2020,error: undefined method `first' for nil:NilClass,62.19
106,Speed Demon,mountain,Giant,4459.25,1720.12,928.73,Zoonder,2/12/2018,12/14/2020,error: undefined method `first' for nil:NilClass,61.43
107,Trail Blazer,hybrid,Cannondale,2458.24,890.05,538.74,Cogibox,11/30/2018,11/20/2020,error: undefined method `first' for nil:NilClass,63.79
108,Speed Demon,hybrid,Trek,277.15,2256.52,833.51,Yacero,10/11/2018,3/24/2021,error: undefined method `first' for nil:NilClass,-714.19
109,Urban Cruiser,road,Trek,4605.55,3927.77,976.41,Leexo,12/1/2019,7/4/2020,error: undefined method `first' for nil:NilClass,14.72
110,Speed Demon,road,Specialized,2795.4,1367.28,33.42,Zoomzone,4/12/2019,12/19/2021,error: undefined method `first' for nil:NilClass,51.09
111,Trail Blazer,road,Cannondale,2545.84,2812.84,907.78,Jayo,8/18/2018,9/2/2020,error: undefined method `first' for nil:NilClass,-10.49
112,Mountain Beast,BMX,Trek,2656.23,341.0,633.41,Dabshots,10/9/2018,3/23/2020,error: undefined method `first' for nil:NilClass,87.16
113,Mountain Beast,road,Trek,832.87,1681.63,380.16,Jayo,3/23/2019,1/23/2021,error: undefined method `first' for nil:NilClass,-101.91
114,City Slicker,BMX,Trek,4550.68,2860.02,748.16,Jamia,8/24/2019,11/2/2021,error: undefined method `first' for nil:NilClass,37.15
115,Trail Blazer,BMX,Scott,4329.07,1766.68,660.64,Snaptags,1/7/2018,5/5/2021,error: undefined method `first' for nil:NilClass,59.19
116,Speed Demon,road,Cannondale,2613.94,1968.1,583.52,Zazio,11/23/2019,10/24/2020,error: undefined method `first' for nil:NilClass,24.71
117,Speed Demon,road,Trek,2693.06,943.72,594.06,Fivechat,6/17/2019,11/24/2021,error: undefined method `first' for nil:NilClass,64.96
118,City Slicker,BMX,Cannondale,2312.27,2210.04,194.91,Blogtag,7/12/2018,2/12/2021,error: undefined method `first' for nil:NilClass,4.42
119,Trail Blazer,cruiser,Cannondale,1218.9,696.71,982.58,Jabbersphere,8/24/2019,9/6/2020,error: undefined method `first' for nil:NilClass,42.84
120,Trail Blazer,BMX,Trek,1738.57,3726.46,324.59,Brainverse,5/14/2019,12/11/2020,error: undefined method `first' for nil:NilClass,-114.34
121,City Slicker,road,Specialized,919.33,3388.45,641.09,Yoveo,5/7/2018,9/18/2020,error: undefined method `first' for nil:NilClass,-268.58
122,Trail Blazer,road,Giant,882.53,2340.3,289.53,Trilia,3/13/2019,12/17/2021,error: undefined method `first' for nil:NilClass,-165.18
123,Speed Demon,cruiser,Giant,2603.4,787.64,255.62,Fivechat,12/5/2019,3/3/2021,error: undefined method `first' for nil:NilClass,69.75
124,Trail Blazer,road,Scott,83.73,710.69,316.46,Linklinks,3/6/2018,5/13/2020,error: undefined method `first' for nil:NilClass,-748.79
125,Mountain Beast,mountain,Trek,3417.74,1616.66,513.04,Snaptags,12/6/2018,8/29/2021,error: undefined method `first' for nil:NilClass,52.7
126,Mountain Beast,BMX,Scott,1534.54,1972.89,236.87,Miboo,6/26/2018,1/3/2021,error: undefined method `first' for nil:NilClass,-28.57
127,Urban Cruiser,mountain,Trek,1257.5,397.12,962.27,Janyx,10/17/2019,7/7/2020,error: undefined method `first' for nil:NilClass,68.42
128,Urban Cruiser,road,Specialized,58.07,1146.97,8.8,Jaxworks,8/22/2018,8/5/2021,error: undefined method `first' for nil:NilClass,-1875.15
129,Speed Demon,cruiser,Cannondale,2733.68,2776.11,233.45,Photobean,6/11/2018,2/15/2021,error: undefined method `first' for nil:NilClass,-1.55
130,Trail Blazer,hybrid,Cannondale,4053.02,714.1,32.36,Muxo,11/3/2018,5/14/2020,error: undefined method `first' for nil:NilClass,82.38
131,Speed Demon,hybrid,Giant,3138.94,325.5,17.73,Vipe,2/20/2019,10/28/2021,error: undefined method `first' for nil:NilClass,89.63
132,Mountain Beast,road,Giant,2127.3,224.24,911.06,Jaxspan,1/2/2018,11/5/2021,error: undefined method `first' for nil:NilClass,89.46
133,Urban Cruiser,mountain,Cannondale,434.77,586.53,732.6,Skipfire,9/24/2019,4/5/2020,error: undefined method `first' for nil:NilClass,-34.91
134,Trail Blazer,hybrid,Specialized,3700.01,1249.28,288.66,Mudo,8/8/2018,12/11/2020,error: undefined method `first' for nil:NilClass,66.24
135,City Slicker,BMX,Cannondale,3243.7,737.39,923.5,Devbug,5/4/2018,4/6/2021,error: undefined method `first' for nil:NilClass,77.27
136,City Slicker,hybrid,Specialized,1156.9,882.25,88.3,Feedfish,12/29/2018,12/7/2020,error: undefined method `first' for nil:NilClass,23.74
137,Trail Blazer,cruiser,Cannondale,3747.81,1660.77,314.86,Skynoodle,12/24/2018,5/27/2020,error: undefined method `first' for nil:NilClass,55.69
138,Mountain Beast,road,Cannondale,384.09,2508.52,253.97,Jaxworks,1/4/2019,4/30/2021,error: undefined method `first' for nil:NilClass,-553.11
139,Speed Demon,mountain,Scott,946.44,422.81,796.84,Rhybox,12/31/2018,1/29/2021,error: undefined method `first' for nil:NilClass,55.33
140,Speed Demon,mountain,Giant,4386.61,3459.87,256.22,Skiba,9/7/2019,4/11/2020,error: undefined method `first' for nil:NilClass,21.13
141,Urban Cruiser,mountain,Trek,50.36,2569.19,454.2,Quatz,11/3/2018,6/24/2020,error: undefined method `first' for nil:NilClass,-5001.65
142,City Slicker,mountain,Scott,1759.77,1858.33,189.36,Janyx,10/20/2019,7/29/2021,error: undefined method `first' for nil:NilClass,-5.6
143,Urban Cruiser,BMX,Scott,1422.85,1677.03,374.8,Roodel,1/1/2019,6/22/2020,error: undefined method `first' for nil:NilClass,-17.86
144,City Slicker,BMX,Trek,1312.28,3508.0,746.52,Topicshots,10/31/2019,1/22/2020,error: undefined method `first' for nil:NilClass,-167.32
145,City Slicker,road,Trek,2664.8,3342.54,368.94,Dabshots,3/7/2018,7/15/2021,error: undefined method `first' for nil:NilClass,-25.43
146,Urban Cruiser,hybrid,Scott,2631.7,2160.05,599.74,Zoombeat,4/1/2019,5/18/2021,error: undefined method `first' for nil:NilClass,17.92
147,Trail Blazer,road,Cannondale,4101.04,1531.29,175.52,Jamia,6/17/2018,9/11/2020,error: undefined method `first' for nil:NilClass,62.66
148,Urban Cruiser,hybrid,Scott,4136.47,1792.89,645.83,Quamba,2/1/2019,5/29/2021,error: undefined method `first' for nil:NilClass,56.66
149,City Slicker,cruiser,Cannondale,3605.71,3978.35,883.54,Yodel,4/16/2018,9/18/2020,error: undefined method `first' for nil:NilClass,-10.33
150,Trail Blazer,BMX,Trek,2001.16,344.32,630.36,Youspan,6/8/2019,9/19/2020,error: undefined method `first' for nil:NilClass,82.79
151,Trail Blazer,hybrid,Cannondale,1562.34,3206.44,127.4,Voomm,2/4/2019,12/30/2020,error: undefined method `first' for nil:NilClass,-105.23
152,City Slicker,road,Giant,3512.44,2766.19,690.0,Yamia,9/14/2018,11/5/2020,error: undefined method `first' for nil:NilClass,21.25
153,Speed Demon,mountain,Cannondale,4976.87,3608.01,763.5,Aimbo,5/28/2019,9/21/2021,error: undefined method `first' for nil:NilClass,27.5
154,Urban Cruiser,hybrid,Cannondale,2860.23,348.21,13.48,Kwideo,4/24/2018,8/10/2020,error: undefined method `first' for nil:NilClass,87.83
155,City Slicker,hybrid,Trek,4647.95,2094.22,13.88,Dabfeed,7/2/2019,3/28/2020,error: undefined method `first' for nil:NilClass,54.94
156,Trail Blazer,cruiser,Specialized,2587.83,2070.73,361.15,Mybuzz,5/1/2019,8/7/2020,error: undefined method `first' for nil:NilClass,19.98
157,City Slicker,mountain,Specialized,4400.82,104.47,707.56,Voolia,7/1/2018,10/19/2021,error: undefined method `first' for nil:NilClass,97.63
158,Urban Cruiser,road,Trek,2338.83,576.22,236.01,Agivu,12/24/2018,2/16/2021,error: undefined method `first' for nil:NilClass,75.36
159,Urban Cruiser,hybrid,Cannondale,2549.38,3175.12,468.79,Ozu,3/5/2018,4/23/2020,error: undefined method `first' for nil:NilClass,-24.54
160,Speed Demon,cruiser,Giant,4719.47,2142.96,818.58,Zoomzone,10/12/2018,1/21/2021,error: undefined method `first' for nil:NilClass,54.59
161,Speed Demon,BMX,Trek,1967.9,3215.96,871.34,Tazz,5/8/2018,8/10/2021,error: undefined method `first' for nil:NilClass,-63.42
162,Mountain Beast,road,Trek,1384.38,3270.66,855.28,Topiczoom,9/19/2019,8/9/2020,error: undefined method `first' for nil:NilClass,-136.25
163,Mountain Beast,road,Scott,4195.82,2968.34,647.78,Jabbersphere,5/8/2018,11/7/2020,error: undefined method `first' for nil:NilClass,29.25
164,Speed Demon,BMX,Trek,1540.81,312.26,331.16,Tekfly,3/7/2019,4/24/2021,error: undefined method `first' for nil:NilClass,79.73
165,Speed Demon,mountain,Giant,2910.09,445.02,380.22,Cogilith,5/5/2018,3/24/2021,error: undefined method `first' for nil:NilClass,84.71
166,Trail Blazer,cruiser,Specialized,3128.07,3214.05,718.4,Yodoo,4/16/2019,11/17/2020,error: undefined method `first' for nil:NilClass,-2.75
167,Mountain Beast,BMX,Cannondale,334.5,2952.75,525.42,Kimia,6/22/2019,8/16/2020,error: undefined method `first' for nil:NilClass,-782.74
168,Mountain Beast,mountain,Specialized,4988.65,2674.23,832.63,Eadel,11/20/2018,8/21/2021,error: undefined method `first' for nil:NilClass,46.39
169,Urban Cruiser,hybrid,Giant,2587.93,3429.22,160.75,Kaymbo,3/18/2018,4/28/2021,error: undefined method `first' for nil:NilClass,-32.51
170,Speed Demon,road,Trek,1758.32,323.14,41.91,Zoozzy,12/17/2018,8/3/2020,error: undefined method `first' for nil:NilClass,81.62
171,Mountain Beast,road,Specialized,2792.17,2163.01,897.86,Twitterwire,12/15/2019,11/3/2020,error: undefined method `first' for nil:NilClass,22.53
172,Urban Cruiser,cruiser,Scott,3189.3,1723.98,817.27,Babbleopia,9/8/2019,10/23/2021,error: undefined method `first' for nil:NilClass,45.94
173,City Slicker,hybrid,Giant,2513.77,266.24,221.6,Lajo,1/2/2018,10/16/2020,error: undefined method `first' for nil:NilClass,89.41
174,Urban Cruiser,cruiser,Trek,704.89,1503.22,21.68,Flashpoint,11/9/2019,1/17/2021,error: undefined method `first' for nil:NilClass,-113.26
175,Urban Cruiser,hybrid,Specialized,3134.24,2509.64,46.48,Leexo,1/14/2018,1/10/2020,error: undefined method `first' for nil:NilClass,19.93
176,Mountain Beast,road,Specialized,4501.68,3836.53,838.13,Jazzy,7/10/2019,4/16/2020,error: undefined method `first' for nil:NilClass,14.78
177,Trail Blazer,cruiser,Specialized,2787.0,3377.61,472.13,Myworks,9/5/2018,4/23/2021,error: undefined method `first' for nil:NilClass,-21.19
178,Speed Demon,mountain,Trek,684.22,86.3,615.84,Quatz,7/6/2019,5/23/2020,error: undefined method `first' for nil:NilClass,87.39
179,City Slicker,BMX,Giant,3071.23,2906.36,857.64,Yakidoo,1/27/2019,6/23/2020,error: undefined method `first' for nil:NilClass,5.37
180,Speed Demon,hybrid,Cannondale,730.73,2440.4,5.01,Topiczoom,7/19/2019,11/2/2020,error: undefined method `first' for nil:NilClass,-233.97
181,City Slicker,road,Specialized,276.31,2981.21,781.45,Zoomlounge,1/29/2018,10/11/2021,error: undefined method `first' for nil:NilClass,-978.94
182,Speed Demon,hybrid,Scott,274.72,1965.86,884.65,Zoomlounge,10/3/2019,9/3/2021,error: undefined method `first' for nil:NilClass,-615.59
183,Speed Demon,mountain,Trek,2022.37,84.45,507.89,Bubblemix,8/25/2019,12/27/2020,error: undefined method `first' for nil:NilClass,95.82
184,Trail Blazer,cruiser,Trek,1007.79,921.47,369.66,Browsedrive,12/22/2019,6/30/2021,error: undefined method `first' for nil:NilClass,8.57
185,City Slicker,hybrid,Giant,3311.87,2118.12,937.25,Zoozzy,7/11/2018,4/26/2021,error: undefined method `first' for nil:NilClass,36.04
186,Trail Blazer,road,Trek,4838.99,1672.61,426.77,InnoZ,2/25/2019,7/29/2020,error: undefined method `first' for nil:NilClass,65.43
187,Mountain Beast,road,Trek,3280.8,488.68,841.2,Rhycero,5/20/2019,3/9/2020,error: undefined method `first' for nil:NilClass,85.1
